measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,6,China,3,Both,22,All ages,542,Neurological disorders,1,Number,2014,447766.07098377857,982326.3754128655,177826.05136264474
1,Deaths,81,Germany,3,Both,22,All ages,542,Neurological disorders,1,Number,2017,93271.93207029125,195804.73879266795,41360.5945990894
1,Deaths,81,Germany,3,Both,22,All ages,558,Mental disorders,1,Number,2017,24.17769486799218,49.88054780881457,10.968943279190535
1,Deaths,163,India,3,Both,22,All ages,542,Neurological disorders,1,Number,2019,189160.31555466357,381397.85135413916,94779.84116884615
1,Deaths,163,India,3,Both,22,All ages,558,Mental disorders,1,Number,2019,3.702132813513751,23.132451742007625,0.6096685467196105
1,Deaths,163,India,3,Both,22,All ages,542,Neurological disorders,1,Number,2015,162479.23169427447,322591.11908428045,80366.75483192965
1,Deaths,163,India,3,Both,22,All ages,558,Mental disorders,1,Number,2015,3.0422854025845862,16.88978462741424,0.5239221030644399
1,Deaths,81,Germany,3,Both,22,All ages,542,Neurological disorders,1,Number,2016,88714.9422780424,186700.36171739706,39508.373356413875
1,Deaths,81,Germany,3,Both,22,All ages,558,Mental disorders,1,Number,2016,24.18238178913947,49.39586519874462,11.179090611635557
1,Deaths,81,Germany,3,Both,22,All ages,542,Neurological disorders,1,Number,2019,97632.273572964,204450.13142616584,43313.16199465932
1,Deaths,81,Germany,3,Both,22,All ages,558,Mental disorders,1,Number,2019,24.656452277050835,49.49731859010485,10.641782786059897
1,Deaths,1,Global,3,Both,22,All ages,542,Neurological disorders,1,Number,2013,2057980.5926247302,4241359.846476562,935821.1790297556
1,Deaths,1,Global,3,Both,22,All ages,558,Mental disorders,1,Number,2013,240.13108805348438,372.715642757658,117.30278601610976
1,Deaths,95,United Kingdom,3,Both,22,All ages,542,Neurological disorders,1,Number,2013,51101.421036356325,103196.31340975482,24439.353754560187
1,Deaths,95,United Kingdom,3,Both,22,All ages,558,Mental disorders,1,Number,2013,10.671017039889227,19.864593890210607,4.768505156371885
1,Deaths,6,China,3,Both,22,All ages,558,Mental disorders,1,Number,2013,27.880825245187175,41.54421218061986,16.537291470550485
1,Deaths,81,Germany,3,Both,22,All ages,542,Neurological disorders,1,Number,2015,88701.39554270731,188306.10247931976,39682.21205825275
1,Deaths,81,Germany,3,Both,22,All ages,558,Mental disorders,1,Number,2015,24.40949249834786,49.27947023615527,11.396120010475121
1,Deaths,102,United States of America,3,Both,22,All ages,542,Neurological disorders,1,Number,2017,248412.28074322283,504692.955728066,113043.2143308503
1,Deaths,102,United States of America,3,Both,22,All ages,558,Mental disorders,1,Number,2017,44.0133684308192,78.13855943694159,21.08967728111692
1,Deaths,163,India,3,Both,22,All ages,542,Neurological disorders,1,Number,2018,181644.36259261714,359600.61227765644,90254.57120194868
1,Deaths,163,India,3,Both,22,All ages,558,Mental disorders,1,Number,2018,3.5254614395411017,21.24622636669529,0.6028026786676621
1,Deaths,81,Germany,3,Both,22,All ages,542,Neurological disorders,1,Number,2018,97329.8576124498,203797.07683669473,43405.213960122
1,Deaths,81,Germany,3,Both,22,All ages,558,Mental disorders,1,Number,2018,24.510935927119192,49.87440863267643,10.826205840568827
1,Deaths,102,United States of America,3,Both,22,All ages,542,Neurological disorders,1,Number,2016,239431.23946065753,488126.0727874393,107977.51750049547
